post_title,post_name,post_parent,ID,post_content,post_excerpt,post_status,post_password,menu_order,post_date,post_author,comment_status,sku,parent_sku,children,downloadable,virtual,stock,regular_price,sale_price,weight,length,width,height,tax_class,stock_status,backorders,sold_individually,low_stock_amount,manage_stock,tax_status,upsell_ids,crosssell_ids,featured,purchase_note,sale_price_dates_from,sale_price_dates_to,download_limit,download_expiry,product_url,button_text,images,downloadable_files,product_page_url,wpml:language_code,wpml:original_product_id,wpml:original_product_sku,tax:product_brand,tax:product_type,tax:product_visibility,tax:product_cat,tax:product_tag,tax:product_shipping_class,tax:translation_priority,meta:attr_label_translations,meta:care_instruction,meta:features,meta:material,meta:prod-chart,meta:return_policy,meta:shippinginfo,meta:th_custom_attribute_settings,meta:total_sales,meta:wavi_value,meta:wcml_sync_hash,meta:attribute_pa_color,meta:attribute_pa_size,attribute:pa_color,attribute_data:pa_color,attribute_default:pa_color,attribute:pa_size,attribute_data:pa_size,attribute_default:pa_size
"Linen dress with back opening",linen-dress-with-back-opening,,144,,,publish,,0,"2025-04-24 05:52:41",1,open,,,,no,no,,109,,,,,,,instock,no,no,,no,taxable,,,,,,,'-1,'-1,,,"http://localhost/junior-salon/wp-content/uploads/2025/04/186a1526a1512ffa5efd610cfae7b4f5299c8ed5.png ! alt :  ! title : 186a1526a1512ffa5efd610cfae7b4f5299c8ed5 ! desc :  ! caption : ",,http://localhost/junior-salon/product/linen-dress-with-back-opening/,en,144,,Chloé,simple,,"POPULAR PICKS",,,,,,,,,,,,0,,,,,,,,,,
"Embroidered knit cardigan",embroidered-knit-cardigan,,155,,,publish,,0,"2025-04-24 05:55:04",1,open,,,,no,no,,109,,,,,,,instock,no,no,,no,taxable,,,,,,,'-1,'-1,,,"http://localhost/junior-salon/wp-content/uploads/2025/04/c77e5266d38526df577eab06115d7edefe5bd843.png ! alt :  ! title : c77e5266d38526df577eab06115d7edefe5bd843 ! desc :  ! caption : ",,http://localhost/junior-salon/product/embroidered-knit-cardigan/,en,155,,Chloé,simple,,"POPULAR PICKS",,,,,,,,,,,,1,,,,,,,,,,
"Ballon skirt dress",ballon-skirt-dress,,156,,,publish,,0,"2025-04-24 05:59:01",1,open,,,,no,no,,109,,,,,,,instock,no,no,,no,taxable,,,,,,,'-1,'-1,,,"http://localhost/junior-salon/wp-content/uploads/2025/04/b35e2cef1be527535cbd5991ec289493cf8ee6ee.png ! alt :  ! title : b35e2cef1be527535cbd5991ec289493cf8ee6ee ! desc :  ! caption : ",,http://localhost/junior-salon/product/ballon-skirt-dress/,en,156,,Chloé,simple,,"POPULAR PICKS",,,,,,,,,,,,5,,,,,,,,,,
"Cotton linen overalls",cotton-linen-overalls,,158,,,publish,,0,"2025-04-24 05:59:42",1,open,,,,no,no,,109,,,,,,,instock,no,no,,no,taxable,,,,,,,'-1,'-1,,,"http://localhost/junior-salon/wp-content/uploads/2025/04/0c8be877df954c08d58691b625bdfc64c0da2451.png ! alt :  ! title : 0c8be877df954c08d58691b625bdfc64c0da2451 ! desc :  ! caption : ",,http://localhost/junior-salon/product/cotton-linen-overalls/,en,158,,Chloé,simple,,"POPULAR PICKS",,,,,,,,,,,,0,,,,,,,,,,
"Baby neck t-shirt",baby-neck-t-shirt,,159,,,publish,,0,"2025-04-24 06:00:32",1,open,,,,no,no,,109,,,,,,,instock,no,no,,no,taxable,,,,,,,'-1,'-1,,,"http://localhost/junior-salon/wp-content/uploads/2025/04/9e664f12313008f53b4b66c84945127ed0299d4f.png ! alt :  ! title : 9e664f12313008f53b4b66c84945127ed0299d4f ! desc :  ! caption : ",,http://localhost/junior-salon/product/baby-neck-t-shirt/,en,159,,Chloé,simple,,"POPULAR PICKS",,,,,,,,,,,,2,,,,,,,,,,
"Cotton flowers hat",cotton-flowers-hat,,160,,,publish,,0,"2025-04-24 06:01:39",1,open,,,,no,no,,109,,,,,,,instock,no,no,,no,taxable,,,,,,,'-1,'-1,,,"http://localhost/junior-salon/wp-content/uploads/2025/04/0b3d49946c9eaff45e35a04d51bd9b6a4473998a.png ! alt :  ! title : 0b3d49946c9eaff45e35a04d51bd9b6a4473998a ! desc :  ! caption : ",,http://localhost/junior-salon/product/cotton-flowers-hat/,en,160,,Chloé,simple,,"POPULAR PICKS",,,,,,,,,,,,0,,,,,,,,,,
"Long cotton dungarees",long-cotton-dungarees,,161,,,publish,,0,"2025-04-24 06:02:36",1,open,,,,no,no,,109,,,,,,,instock,no,no,,no,taxable,,,,,,,'-1,'-1,,,"http://localhost/junior-salon/wp-content/uploads/2025/04/d580319d3940df57e139a7f811e3ec8544b7f448.png ! alt :  ! title : d580319d3940df57e139a7f811e3ec8544b7f448 ! desc :  ! caption : ",,http://localhost/junior-salon/product/long-cotton-dungarees/,en,161,,Chloé,simple,,"POPULAR PICKS",,,,,,,,,,,,0,,,,,,,,,,
"100% cotton Oxford striped shirt",100-cotton-oxford-striped-shirt,,163,,,publish,,0,"2025-04-24 06:04:46",1,open,,,,no,no,,109,,,,,,,instock,no,no,,no,taxable,,,,,,,'-1,'-1,,,"http://localhost/junior-salon/wp-content/uploads/2025/04/273a7ed416476775f4d5be7297c9533d74e8e0ea.png ! alt :  ! title : 273a7ed416476775f4d5be7297c9533d74e8e0ea ! desc :  ! caption : ",,http://localhost/junior-salon/product/100-cotton-oxford-striped-shirt/,en,163,,Chloé,simple,,"POPULAR PICKS",,,,,,,,,,,,8,,,,,,,,,,
"White embroidered girl's shirt",white-embroidered-girls-shirt,,176,,,publish,,0,"2025-04-24 12:02:33",1,open,,,,no,no,,420,,,,,,,instock,no,no,,no,taxable,,,,,,,'-1,'-1,,,"http://localhost/junior-salon/wp-content/uploads/2025/04/c1e9213c3a7261e667626aed5b3b553eba27daa3.png ! alt :  ! title : c1e9213c3a7261e667626aed5b3b553eba27daa3 ! desc :  ! caption : ",,http://localhost/junior-salon/product/white-embroidered-girls-shirt/,en,176,,Givenchy,simple,,"whats hot",,,,,,,,,,,,4,,,,,,,,,,
"Baby boy's pants in ecru Lyocell",baby-boys-pants-in-ecru-lyocell,,182,,,publish,,0,"2025-04-24 12:06:52",1,closed,,,,no,no,,820,,,,,,,instock,no,no,,no,taxable,,,,,,,'-1,'-1,,,"http://localhost/junior-salon/wp-content/uploads/2025/04/68f2e1d825a8559833ab6c6097f0806358f763a3.png ! alt :  ! title : 68f2e1d825a8559833ab6c6097f0806358f763a3 ! desc :  ! caption : ",,http://localhost/junior-salon/product/baby-boys-pants-in-ecru-lyocell/,en,182,,Givenchy,simple,,"Home category > BABY|best seller|whats hot",,,Required,,,,,[],,,[],4,,,,,,,,,,
"Girls' wide-legged jeans in low-impact blue..",girls-wide-legged-jeans-in-low-impact-blue,,184,,,publish,,0,"2025-04-24 12:08:16",1,open,,,,no,no,,420,,,,,,,instock,no,no,,no,taxable,,,,,,,'-1,'-1,,,"http://localhost/junior-salon/wp-content/uploads/2025/04/3bc9e817a32067f72f997cbfff4bb17a648f9e1d.png ! alt :  ! title : 3bc9e817a32067f72f997cbfff4bb17a648f9e1d ! desc :  ! caption : ",,http://localhost/junior-salon/product/girls-wide-legged-jeans-in-low-impact-blue/,en,184,,Chloé,simple,,"whats hot",,,,,,,,342,,,,3,,,,,,,,,,
"Baby girl's short pajamas with heart print",baby-girls-short-pajamas-with-heart-print,,185,,,publish,,0,"2025-04-24 12:09:14",1,open,,,,no,no,,420,400,,,,,,instock,no,no,,no,taxable,,,,,,,'-1,'-1,,,"http://localhost/junior-salon/wp-content/uploads/2025/04/4f45faacd74c565f559298f7608e3cb2bac98ed1.png ! alt :  ! title : 4f45faacd74c565f559298f7608e3cb2bac98ed1 ! desc :  ! caption : ",,http://localhost/junior-salon/product/baby-girls-short-pajamas-with-heart-print/,en,185,,Givenchy,simple,,"whats hot",,,,,,,,,,,,4,,,,,,,,,,
"Baby girl's short pajamas with heart print (Copy)",baby-girls-short-pajamas-with-heart-print-copy,,215,,,publish,,0,"2025-04-28 11:51:31",1,closed,,,,no,no,,4,1,,,,,,instock,no,no,,no,taxable,,,,,,,'-1,'-1,,,"http://localhost/junior-salon/wp-content/uploads/2025/04/4f45faacd74c565f559298f7608e3cb2bac98ed1.png ! alt :  ! title : 4f45faacd74c565f559298f7608e3cb2bac98ed1 ! desc :  ! caption : ",,http://localhost/junior-salon/product/baby-girls-short-pajamas-with-heart-print-copy/,en,215,,Givenchy,simple,,"whats hot",,,Optional,,,,,[],,,[],3,,,,,,,,,,
"Young wide-legged jeans in low-impact blue.. (Copy)",young-wide-legged-jeans-in-low-impact-blue-copy,,218,,,publish,,0,"2025-04-29 13:03:29",1,open,,,,no,no,,420,,,,,,,instock,no,no,,no,taxable,,,,,,,'-1,'-1,,,"http://localhost/junior-salon/wp-content/uploads/2025/04/3bc9e817a32067f72f997cbfff4bb17a648f9e1d.png ! alt :  ! title : 3bc9e817a32067f72f997cbfff4bb17a648f9e1d ! desc :  ! caption : ",,http://localhost/junior-salon/product/young-wide-legged-jeans-in-low-impact-blue-copy/,en,218,,Chloé,simple,,"whats hot",,,,,,,,,,,,3,,,,,,,,,,
"Baby boys t-shirt",baby-boys-t-shirt,,612,,,publish,,0,"2025-05-29 06:24:01",1,closed,,,,no,no,,95,,,,,,,instock,no,no,,no,taxable,,,,,,,'-1,'-1,,,"http://localhost/junior-salon/wp-content/uploads/2025/04/d580319d3940df57e139a7f811e3ec8544b7f448.png ! alt :  ! title : d580319d3940df57e139a7f811e3ec8544b7f448 ! desc :  ! caption : ",,http://localhost/junior-salon/product/baby-boys-t-shirt/,en,612,,,variable,,"Home category > BOYS",,,,,,,,[],,,[],0,,,,,BLACK|GREEN|RED,1|1|1,,"1 year|2 Year|Small",0|1|1,
"Baby boys t-shirt - Small, RED",baby-boys-t-shirt-3,612,615,,"Size: Small, Color: RED",publish,,1,"2025-05-29 06:23:06",1,closed,,,,no,no,,100,95,,,,,parent,instock,no,no,,no,taxable,,,,,,,'-1,'-1,,,,,http://localhost/junior-salon/product/baby-boys-t-shirt/,en,615,,,,,,,,,,,,,,,,,0,,,RED,Small,,,,,,
"Baby boys t-shirt - 2 Year, GREEN",baby-boys-t-shirt-2,612,614,,"Size: 2 Year, Color: GREEN",publish,,2,"2025-05-29 06:22:48",1,closed,,,,no,no,,112,100,,,,,parent,instock,no,no,,no,taxable,,,,,,,'-1,'-1,,,,,http://localhost/junior-salon/product/baby-boys-t-shirt/,en,614,,,,,,,,,,,,,,,,,0,,,GREEN,"2 Year",,,,,,
"Baby boys t-shirt - 1 year, BLACK",baby-boys-t-shirt,612,613,,"Size: 1 year, Color: BLACK",publish,,3,"2025-05-29 06:22:21",1,closed,,,,no,no,,112,110,,,,,parent,instock,no,no,,no,taxable,,,,,,,'-1,'-1,,,,,http://localhost/junior-salon/product/baby-boys-t-shirt/,en,613,,,,,,,,,,,,,,,,,0,,,BLACK,"1 year",,,,,,
